step,epoch,train_loss,forget_acc,retain_acc,new_acc,overall_acc
4,48,4.1490,0.0000,63.5568,73.4602,65.5013
4,49,4.1450,0.0000,63.8577,73.5722,65.7652
4,50,4.1384,0.0000,64.1040,74.3561,66.1170
5,0,-,52.0000,49.8181,0.0000,47.2525
5,1,5.2107,30.3590,62.9443,0.0000,59.7027
5,2,4.9435,9.6410,64.8475,36.5979,63.3926
5,3,4.2510,0.3077,56.2832,92.7835,58.1630
5,4,4.2528,0.0000,56.3112,93.8144,58.2426
5,5,4.0765,0.0000,57.0389,94.3299,58.9594
5,6,4.0824,0.0000,56.7310,95.3608,58.7205
5,7,4.0134,0.0000,58.2144,95.8763,60.1540
5,8,3.9651,0.0000,57.6826,96.3918,59.6761
5,9,3.9737,0.0000,57.9345,96.3918,59.9151
5,10,3.9716,0.0000,57.8226,96.9072,59.8354
5,11,4.0395,0.0000,59.5578,96.9072,61.4813
5,12,3.9806,0.0000,59.1100,97.4227,61.0831
5,13,3.9555,0.0000,58.6902,95.8763,60.6053
5,14,3.9725,0.0000,59.0260,97.9381,61.0300
5,15,3.8700,0.0000,60.6213,96.3918,62.4635
5,16,3.9816,0.0000,61.0411,95.8763,62.8351
5,17,3.8818,0.0000,60.7333,96.3918,62.5697
5,18,3.8810,0.0000,59.0820,96.9072,61.0300
5,19,3.9535,0.0000,60.6493,96.9072,62.5166
5,20,3.8902,0.0000,60.0896,97.4227,62.0122
5,21,3.8842,0.0000,60.5374,95.8763,62.3573
5,22,3.9119,0.0000,60.0336,97.4227,61.9591
5,23,3.8667,0.0000,61.7688,96.9072,63.5784
5,24,3.8949,0.0000,61.2371,96.3918,63.0475
5,25,3.8348,0.0000,60.8732,97.4227,62.7555
5,26,3.8417,0.0000,60.6213,97.4227,62.5166
5,27,3.9020,0.0000,61.0691,96.9072,62.9148
5,28,3.9014,0.0000,60.9852,96.9072,62.8351
5,29,3.8528,0.0000,61.0691,97.4227,62.9413
5,30,3.8885,0.0000,60.7053,97.4227,62.5962
5,31,3.8331,0.0000,61.6849,96.9072,63.4988
5,32,3.8774,0.0000,60.7333,96.3918,62.5697
5,33,3.8758,0.0000,62.6085,96.3918,64.3483
5,34,3.8735,0.0000,63.0283,97.4227,64.7996
5,35,3.9051,0.0000,60.8732,96.9072,62.7290
5,36,3.8470,0.0000,61.7968,96.9072,63.6050
5,37,3.8843,0.0000,61.4330,96.9072,63.2599
5,38,3.8661,0.0000,62.1606,96.3918,63.9235
5,39,3.8189,0.0000,62.8603,96.3918,64.5872
5,40,3.8541,0.0000,61.6289,97.4227,63.4723
5,41,3.8225,0.0000,62.1327,97.4227,63.9501
5,42,3.8691,0.0000,62.5245,97.9381,64.3483
5,43,3.8038,0.0000,61.5449,97.4227,63.3926
5,44,3.8166,0.0000,62.2166,95.8763,63.9501
5,45,3.8461,0.0000,62.5245,96.9072,64.2952
5,46,3.7662,0.0000,62.3006,96.9072,64.0828
5,47,3.8103,0.0000,61.8808,95.8763,63.6315
5,48,3.7834,0.0000,62.9443,96.9072,64.6934
5,49,3.8524,0.0000,61.0971,97.9381,62.9944
5,50,3.8354,0.0000,63.8959,96.3918,65.5694
